timestamp,proceso,error_level,error_message,mensaje,log_category,run_name
2026-09-04 04:50:55.160,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 947 to version 948.,Database 'model_replicatedmaster' running the upgrade step from version 947 to version 948.,INFO,carga1
2026-09-04 04:50:55.190,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 948 to version 949.,Database 'model_replicatedmaster' running the upgrade step from version 948 to version 949.,INFO,carga1
2026-09-04 04:50:55.210,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 949 to version 950.,Database 'model_replicatedmaster' running the upgrade step from version 949 to version 950.,INFO,carga1
2026-09-04 04:50:55.240,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 950 to version 951.,Database 'model_replicatedmaster' running the upgrade step from version 950 to version 951.,INFO,carga1
2026-09-04 04:50:55.280,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 951 to version 952.,Database 'model_replicatedmaster' running the upgrade step from version 951 to version 952.,INFO,carga1
2026-09-04 04:50:55.320,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 952 to version 953.,Database 'model_replicatedmaster' running the upgrade step from version 952 to version 953.,INFO,carga1
2026-09-04 04:50:55.380,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 953 to version 954.,Database 'model_replicatedmaster' running the upgrade step from version 953 to version 954.,INFO,carga1
2026-09-04 04:50:55.410,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 954 to version 955.,Database 'model_replicatedmaster' running the upgrade step from version 954 to version 955.,INFO,carga1
2026-09-04 04:50:55.450,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 955 to version 956.,Database 'model_replicatedmaster' running the upgrade step from version 955 to version 956.,INFO,carga1
2026-09-04 04:50:55.620,spid24s,,Database 'model_replicatedmaster' running the upgrade step from version 956 to version 957.,Database 'model_replicatedmaster' running the upgrade step from version 956 to version 957.,INFO,carga1
2026-09-04 04:50:56.230,spid24s,,"[32761]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0","[32761]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0",INFO,carga1
2026-09-04 04:50:56.230,spid24s,,Starting up database 'model_msdb'.,Starting up database 'model_msdb'.,STARTUP,carga1
2026-09-04 04:50:56.390,spid24s,,Converting database 'model_msdb' from version 927 to the current version 957.,Converting database 'model_msdb' from version 927 to the current version 957.,INFO,carga1
2026-09-04 04:50:56.390,spid24s,,Database 'model_msdb' running the upgrade step from version 927 to version 928.,Database 'model_msdb' running the upgrade step from version 927 to version 928.,INFO,carga1
2026-09-04 04:50:56.420,spid24s,,Database 'model_msdb' running the upgrade step from version 928 to version 929.,Database 'model_msdb' running the upgrade step from version 928 to version 929.,INFO,carga1
2026-09-04 04:50:56.510,spid24s,,Database 'model_msdb' running the upgrade step from version 929 to version 930.,Database 'model_msdb' running the upgrade step from version 929 to version 930.,INFO,carga1
2026-09-04 04:50:56.560,spid24s,,Database 'model_msdb' running the upgrade step from version 930 to version 931.,Database 'model_msdb' running the upgrade step from version 930 to version 931.,INFO,carga1
2026-09-04 04:50:56.620,spid24s,,Database 'model_msdb' running the upgrade step from version 931 to version 932.,Database 'model_msdb' running the upgrade step from version 931 to version 932.,INFO,carga1
2026-09-04 04:50:56.660,spid24s,,Database 'model_msdb' running the upgrade step from version 932 to version 933.,Database 'model_msdb' running the upgrade step from version 932 to version 933.,INFO,carga1
2026-09-04 04:50:56.690,spid24s,,Database 'model_msdb' running the upgrade step from version 933 to version 934.,Database 'model_msdb' running the upgrade step from version 933 to version 934.,INFO,carga1
2026-09-04 04:50:56.730,spid24s,,Database 'model_msdb' running the upgrade step from version 934 to version 935.,Database 'model_msdb' running the upgrade step from version 934 to version 935.,INFO,carga1
2026-09-04 04:50:56.760,spid24s,,Database 'model_msdb' running the upgrade step from version 935 to version 936.,Database 'model_msdb' running the upgrade step from version 935 to version 936.,INFO,carga1
2026-09-04 04:50:56.790,spid24s,,Database 'model_msdb' running the upgrade step from version 936 to version 937.,Database 'model_msdb' running the upgrade step from version 936 to version 937.,INFO,carga1
2026-09-04 04:50:56.820,spid24s,,Database 'model_msdb' running the upgrade step from version 937 to version 938.,Database 'model_msdb' running the upgrade step from version 937 to version 938.,INFO,carga1
2026-09-04 04:50:56.850,spid24s,,Database 'model_msdb' running the upgrade step from version 938 to version 939.,Database 'model_msdb' running the upgrade step from version 938 to version 939.,INFO,carga1
2026-09-04 04:50:56.880,spid24s,,Database 'model_msdb' running the upgrade step from version 939 to version 940.,Database 'model_msdb' running the upgrade step from version 939 to version 940.,INFO,carga1
2026-09-04 04:50:56.910,spid24s,,Database 'model_msdb' running the upgrade step from version 940 to version 941.,Database 'model_msdb' running the upgrade step from version 940 to version 941.,INFO,carga1
2026-09-04 04:50:56.940,spid24s,,Database 'model_msdb' running the upgrade step from version 941 to version 942.,Database 'model_msdb' running the upgrade step from version 941 to version 942.,INFO,carga1
2026-09-04 04:50:56.960,spid24s,,Database 'model_msdb' running the upgrade step from version 942 to version 943.,Database 'model_msdb' running the upgrade step from version 942 to version 943.,INFO,carga1
2026-09-04 04:50:57.050,spid24s,,Database 'model_msdb' running the upgrade step from version 943 to version 944.,Database 'model_msdb' running the upgrade step from version 943 to version 944.,INFO,carga1
2026-09-04 04:50:57.080,spid24s,,Database 'model_msdb' running the upgrade step from version 944 to version 945.,Database 'model_msdb' running the upgrade step from version 944 to version 945.,INFO,carga1
2026-09-04 04:50:57.140,spid24s,,Database 'model_msdb' running the upgrade step from version 945 to version 946.,Database 'model_msdb' running the upgrade step from version 945 to version 946.,INFO,carga1
2026-09-04 04:50:57.170,spid24s,,Database 'model_msdb' running the upgrade step from version 946 to version 947.,Database 'model_msdb' running the upgrade step from version 946 to version 947.,INFO,carga1
2026-09-04 04:50:57.200,spid24s,,Database 'model_msdb' running the upgrade step from version 947 to version 948.,Database 'model_msdb' running the upgrade step from version 947 to version 948.,INFO,carga1
2026-09-04 04:50:57.220,spid24s,,Database 'model_msdb' running the upgrade step from version 948 to version 949.,Database 'model_msdb' running the upgrade step from version 948 to version 949.,INFO,carga1
2026-09-04 04:50:57.250,spid24s,,Database 'model_msdb' running the upgrade step from version 949 to version 950.,Database 'model_msdb' running the upgrade step from version 949 to version 950.,INFO,carga1
2026-09-04 04:50:57.270,spid24s,,Database 'model_msdb' running the upgrade step from version 950 to version 951.,Database 'model_msdb' running the upgrade step from version 950 to version 951.,INFO,carga1
2026-09-04 04:50:57.310,spid24s,,Database 'model_msdb' running the upgrade step from version 951 to version 952.,Database 'model_msdb' running the upgrade step from version 951 to version 952.,INFO,carga1
2026-09-04 04:50:57.330,spid24s,,Database 'model_msdb' running the upgrade step from version 952 to version 953.,Database 'model_msdb' running the upgrade step from version 952 to version 953.,INFO,carga1
2026-09-04 04:50:57.370,spid24s,,Database 'model_msdb' running the upgrade step from version 953 to version 954.,Database 'model_msdb' running the upgrade step from version 953 to version 954.,INFO,carga1
2026-09-04 04:50:57.400,spid24s,,Database 'model_msdb' running the upgrade step from version 954 to version 955.,Database 'model_msdb' running the upgrade step from version 954 to version 955.,INFO,carga1
2026-09-04 04:50:57.430,spid24s,,Database 'model_msdb' running the upgrade step from version 955 to version 956.,Database 'model_msdb' running the upgrade step from version 955 to version 956.,INFO,carga1
2026-09-04 04:50:57.530,spid24s,,Database 'model_msdb' running the upgrade step from version 956 to version 957.,Database 'model_msdb' running the upgrade step from version 956 to version 957.,INFO,carga1
2026-09-04 04:50:57.710,spid24s,,Resource governor reconfiguration succeeded.,Resource governor reconfiguration succeeded.,CONFIGURATION,carga1
2026-09-04 04:50:57.710,spid24s,,SQL Server Audit is starting the audits. This is an informational message. No user action is required.,SQL Server Audit is starting the audits. This is an informational message. No user action is required.,STARTUP,carga1
2026-09-04 04:50:57.710,spid40s,,Attribute synchronization initialized,Attribute synchronization initialized,INFO,carga1
2026-09-04 04:50:57.720,spid40s,,Attribute synchronization manager initialized,Attribute synchronization manager initialized,INFO,carga1
2026-09-04 04:50:57.720,spid24s,,SQL Server Audit has started the audits. This is an informational message. No user action is required.,SQL Server Audit has started the audits. This is an informational message. No user action is required.,STARTUP,carga1
