event_name,timestamp,session_id,login_name,program_name,database_name,_linea,command,duration,cpu_time,logical_reads,writes,wait_type,resource_type,mode,status,process_type,run_name
sql_batch_completed,2026-09-04 05:08:29.105,62,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:29.105"", ""database_name"": ""SteelNort"", ""session_id"": 62, ""command"": ""AWAITING COMMAND"", ""duration"": 8, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0}",AWAITING COMMAND,8.0,0.0,0.0,0.0,,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:08:29.105,68,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:29.105"", ""database_name"": ""SteelNort"", ""session_id"": 68, ""command"": ""EXECUTE"", ""duration"": 5040, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",EXECUTE,5040.0,0.0,0.0,0.0,,,,completed,USER,carga1
wait_info,2026-09-04 05:08:34.132,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:34.132"", ""session_id"": 58, ""wait_type"": ""SLEEP_TASK"", ""database_name"": ""master""}",,,,,,SLEEP_TASK,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:08:34.132,52,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:34.132"", ""database_name"": ""SteelNort"", ""session_id"": 52, ""command"": ""AWAITING COMMAND"", ""duration"": 5034, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",AWAITING COMMAND,5034.0,0.0,0.0,0.0,,,,completed,UNKNOWN,carga1
wait_info,2026-09-04 05:08:39.159,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:39.159"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:08:39.159,62,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:39.159"", ""database_name"": ""SteelNort"", ""session_id"": 62, ""command"": ""AWAITING COMMAND"", ""duration"": 5037, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",AWAITING COMMAND,5037.0,0.0,0.0,0.0,,,,completed,UNKNOWN,carga1
wait_info,2026-09-04 05:08:44.189,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:44.189"", ""session_id"": 58, ""wait_type"": ""SLEEP_TASK"", ""database_name"": ""master""}",,,,,,SLEEP_TASK,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:08:44.189,62,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:44.189"", ""database_name"": ""SteelNort"", ""session_id"": 62, ""command"": ""EXECUTE"", ""duration"": 7, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0}",EXECUTE,7.0,0.0,0.0,0.0,,,,,USER,carga1
wait_info,2026-09-04 05:08:49.214,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:49.214"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:08:49.214,62,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:49.214"", ""database_name"": ""SteelNort"", ""session_id"": 62, ""command"": ""EXECUTE"", ""duration"": 5034, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",EXECUTE,5034.0,0.0,0.0,0.0,,,,completed,USER,carga1
logout,2026-09-04 05:08:54.233,72,,,,"{""event_name"": ""logout"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""session_id"": 72}",,,,,,,,,,UNKNOWN,carga1
logout,2026-09-04 05:08:54.233,74,,,,"{""event_name"": ""logout"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""session_id"": 74}",,,,,,,,,,UNKNOWN,carga1
